,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
1,Kosh-Agach,RU,8.61,49.99,88.66,72,24,4.05
2,Khatanga,RU,9.33,71.98,102.47,82,80,2.93
3,Itarema,BR,77.37,-2.92,-39.92,96,92,4.61
4,Mahebourg,MU,77.41,-20.41,57.7,83,20,4.7
5,Bredasdorp,ZA,63.16,-34.53,20.04,93,68,9.17
6,Rikitea,PF,77.82,-23.12,-134.97,100,88,15.35
7,Qaqortoq,GL,23,60.72,-46.03,53,80,5.82
8,Luchegorsk,RU,42.18,46.44,134.3,48,48,4.72
9,Butaritari,KI,82.05,3.07,172.79,100,80,16.24
10,Hilo,US,69.01,19.71,-155.08,64,90,8.05
11,Georgetown,GY,78.09,6.8,-58.16,76,92,6.85
12,Nikolskoye,RU,21.7,59.7,30.79,92,90,4.47
13,Lavrentiya,RU,1.14,65.58,-170.99,100,0,35.59
14,Ribeira Grande,PT,57.39,38.52,-28.7,100,76,24.74
15,Mount Isa,AU,100.4,-20.73,139.49,29,12,5.82
16,Busselton,AU,78.57,-33.64,115.35,29,36,9.19
17,Bethel,US,30.2,60.79,-161.76,92,90,19.46
18,Portland,US,48.81,45.52,-122.67,49,90,16.11
19,Severobaykalsk,RU,11.22,55.65,109.32,79,80,2.82
20,Cabo San Lucas,MX,69.87,22.89,-109.91,77,40,6.96
21,Tasiilaq,GL,19.4,65.61,-37.64,73,88,2.24
22,Upernavik,GL,-3.1,72.79,-56.15,100,32,7.18
23,Atuona,PF,82.41,-9.8,-139.03,100,36,13.89
24,Bluff,AU,97.8,-23.58,149.07,34,20,4.72
25,Arraial do Cabo,BR,76.38,-22.97,-42.02,100,92,10.42
26,Lebu,ET,59,8.96,38.73,58,40,4.7
27,Qaanaaq,GL,-5.62,77.48,-69.36,100,48,6.73
28,Xiaoweizhai,CN,49.11,26.23,107.51,86,92,2.82
29,Chokurdakh,RU,-5.71,70.62,147.9,84,0,9.64
30,Starotimoshkino,RU,29.04,53.72,47.54,94,92,8.86
31,Yakovlevo,RU,32,50.85,36.44,94,75,13.42
32,Sao Fidelis,BR,69.63,-21.65,-41.75,100,76,3.04
33,Axim,GH,82.59,4.87,-2.24,99,0,9.08
34,Ushuaia,AR,42.8,-54.81,-68.31,75,20,25.28
35,Talaya,RU,24.91,55.79,84.89,85,75,8.95
36,Port Macquarie,AU,85.98,-31.43,152.91,65,8,12.75
37,Punta Arenas,CL,42.37,-53.16,-70.91,75,20,12.75
38,Santa Rosa,AR,62.79,-36.62,-64.29,69,64,6.73
39,Santa Cruz,US,52.72,36.97,-122.03,62,1,5.61
40,Bambous Virieux,MU,77.34,-20.34,57.76,83,20,4.7
41,Klaksvik,FO,39.2,62.23,-6.59,93,92,20.8
42,Umm Kaddadah,SD,56.76,13.6,26.69,25,0,5.73
43,Isangel,VU,86,-19.55,169.27,74,75,9.17
44,Severo-Kurilsk,RU,28.95,50.68,156.12,98,36,20.49
45,Acapulco,MX,80.6,16.86,-99.88,78,5,5.82
46,San Gabriel Casa Blanca,MX,56.58,18.15,-97.14,76,0,1.92
47,Tuktoyaktuk,CA,-2.21,69.44,-133.03,77,90,18.34
48,Longyearbyen,NO,1.4,78.22,15.63,59,20,5.39
49,Mataura,NZ,68,-46.19,168.86,79,0,5.01
50,Lompoc,US,54.82,34.64,-120.46,58,0,3.36
51,Vestmanna,FO,39.2,62.16,-7.17,93,92,20.8
52,Kapaa,US,74.77,22.08,-159.32,69,75,14.99
53,Jamestown,AU,64.32,-33.21,138.6,93,88,8.63
54,Afua,NG,75.57,5.27,7.87,92,24,5.28
55,Smoky Lake,CA,33.01,54.11,-112.47,60,80,1.99
56,Along,IN,58.38,28.17,94.8,74,64,1.92
57,Tiznit,MA,54.69,29.7,-9.73,89,0,1.48
58,Dhidhdhoo,MV,83.58,6.88,73.1,99,0,7.29
59,Mwinilunga,ZM,61.53,-11.73,24.43,95,44,2.37
60,Alice Springs,AU,98.6,-23.7,133.88,17,36,5.82
61,Geraldton,CA,5,49.72,-86.95,71,20,3.36
62,Oroszlany,HU,36.54,47.49,18.31,93,75,12.75
63,Ust-Tsilma,RU,25.17,65.44,52.15,89,88,5.39
64,Hermanus,ZA,61,-34.42,19.24,94,0,4
65,Saskylakh,RU,-11.56,71.97,114.09,73,44,3.94
66,Saint-Philippe,CA,27.84,45.36,-73.48,79,90,16.11
67,Iqaluit,CA,-22.01,63.75,-68.52,67,5,6.93
68,Vaini,IN,77,15.34,74.49,44,76,2.24
69,Port Blair,IN,82.4,11.67,92.75,69,20,4.7
70,Lagoa,PT,59.25,37.14,-8.45,77,0,8.05
71,Esperance,TT,74.07,10.24,-61.45,78,20,5.39
72,Vao,EE,24,59.1,26.19,87,80,6.73
73,Memaliaj,AL,47.04,40.35,19.98,100,64,2.26
74,Port Alfred,ZA,66,-33.59,26.89,97,92,17.02
75,Alyangula,AU,89.6,-13.85,136.42,70,75,6.93
76,Arman,RU,14.37,59.7,150.17,64,0,3.71
77,Padang,ID,84.2,-0.92,100.36,70,20,2.24
78,Bandarbeyla,SO,78,9.49,50.81,100,92,8.08
79,Hobart,AU,58.53,-42.88,147.33,36,40,14.99
80,New Norfolk,AU,58.57,-42.78,147.06,36,40,14.99
81,Mar del Plata,AR,52.35,-46.43,-67.52,91,0,10.65
82,Laguna,MX,77.01,27.52,-110.01,33,100,8.97
83,Give,DK,36,55.85,9.24,93,92,5.82
84,Berlevag,NO,23,70.86,29.09,73,75,9.17
85,Yar-Sale,RU,9.96,66.83,70.83,88,64,3.38
86,San Fernando,CL,66.2,-34.58,-70.99,63,8,3.36
87,Yellowknife,CA,24.06,62.45,-114.38,79,75,2.24
88,Barrow,AR,62.07,-38.31,-60.23,60,76,7.63
89,Kodiak,US,35.91,39.95,-94.76,29,1,5.82
90,Thompson,CA,21.2,55.74,-97.86,62,5,5.82
91,Albany,US,31.71,42.65,-73.75,59,40,16.11
92,Naron,ES,43.81,43.52,-8.15,100,36,5.82
93,Katsuura,JP,56.91,33.93,134.5,47,75,6.93
94,Lorengau,PG,81.69,-2.02,147.27,100,92,9.98
95,Carutapera,BR,77.73,-1.2,-46.02,95,80,5.61
96,Oranjemund,ZA,62.61,-28.55,16.43,94,92,7.07
97,Tiarei,PF,78.28,-17.53,-149.33,83,75,6.93
98,Narrabri,AU,91.4,-30.33,149.78,27,0,8.05
99,Kruisfontein,ZA,65.13,-34,24.73,80,0,10.42
100,Clyde River,CA,-20.21,70.47,-68.59,75,40,5.17
101,Tokmak,UA,30.57,47.26,35.7,72,80,5.5
102,Kaitangata,NZ,71.01,-46.28,169.85,56,8,11.01
103,Matara,PE,45.87,-13.74,-72.9,89,56,2.15
104,Yakeshi,CN,18.33,49.28,120.73,34,48,16.13
105,East London,ZA,69.8,-33.02,27.91,94,20,8.05
106,Barstow,US,52.23,31.46,-103.39,87,90,13.87
107,Aloleng,PH,82.05,16.13,119.78,90,20,7.07
108,Evensk,RU,10.41,61.92,159.24,100,44,0.81
109,Maumere,ID,78.45,-8.63,122.22,100,76,7.29
110,Hithadhoo,MV,83.76,-0.6,73.08,100,0,11.21
111,Beyneu,KZ,33,45.32,55.19,79,24,1.59
112,Puerto Colombia,CO,77,10.99,-74.96,83,20,20.8
113,Odienne,CI,69.09,9.51,-7.57,48,0,5.17
114,Srikakulam,IN,81.6,18.29,83.89,97,8,6.96
115,Pevek,RU,-13.36,69.7,170.27,82,8,5.95
116,Soto la Marina,MX,78.27,23.77,-98.21,66,0,11.77
117,Chuy,UY,68.73,-33.69,-53.46,86,88,12.88
118,Naze,NG,76.38,5.43,7.07,90,8,7.96
119,Orje,NO,16.32,59.48,11.66,92,8,3.36
120,Sorland,NO,31.92,67.67,12.69,100,0,7.52
121,Mittersill,AT,28.33,47.28,12.48,94,80,4
122,Cape Town,ZA,59.5,-33.93,18.42,100,75,8.05
123,Morden,CA,19.4,49.19,-98.1,79,8,14.99
124,Makat,KZ,27.6,47.65,53.35,89,0,3.38
